LAST SEEN   TYPE      REASON             OBJECT                              MESSAGE
33m         Warning   DNSConfigForming   pod/node-sentinel-5lf5v             Nameserver limits were exceeded, some nameservers have been omitted, the applied nameserver line is: 1.1.1.1 8.8.8.8 8.8.8.8
44m         Normal    SuccessfulCreate   job/device-avail-cpu-stress         Created pod: device-avail-cpu-stress-b42f5
44m         Normal    Scheduled          pod/device-avail-cpu-stress-b42f5   Successfully assigned intent-lab/device-avail-cpu-stress-b42f5 to icclz1
44m         Normal    Pulling            pod/device-avail-cpu-stress-b42f5   Pulling image "polinux/stress:latest"
44m         Warning   Failed             pod/device-avail-cpu-stress-b42f5   Failed to pull image "polinux/stress:latest": failed to pull and unpack image "docker.io/polinux/stress:latest": failed to resolve reference "docker.io/polinux/stress:latest": failed to do request: Head "https://registry-1.docker.io/v2/polinux/stress/manifests/latest": net/http: TLS handshake timeout
44m         Warning   Failed             pod/device-avail-cpu-stress-b42f5   Error: ErrImagePull
44m         Normal    BackOff            pod/device-avail-cpu-stress-b42f5   Back-off pulling image "polinux/stress:latest"
44m         Warning   Failed             pod/device-avail-cpu-stress-b42f5   Error: ImagePullBackOff
44m         Normal    Pulled             pod/device-avail-cpu-stress-b42f5   Successfully pulled image "polinux/stress:latest" in 14.919s (14.919s including waiting). Image size: 4041495 bytes.
44m         Normal    Created            pod/device-avail-cpu-stress-b42f5   Container created
44m         Normal    Started            pod/device-avail-cpu-stress-b42f5   Container started
42m         Normal    Killing            pod/device-avail-cpu-stress-b42f5   Stopping container stress
30m         Normal    SuccessfulDelete   daemonset/node-sentinel             Deleted pod: node-sentinel-5lf5v
30m         Normal    Killing            pod/node-sentinel-5lf5v             Stopping container node-sentinel
30m         Normal    Created            pod/node-sentinel-5h9mq             Container created
30m         Normal    Scheduled          pod/node-sentinel-5h9mq             Successfully assigned intent-lab/node-sentinel-5h9mq to icclz1
30m         Normal    SuccessfulCreate   daemonset/node-sentinel             Created pod: node-sentinel-5h9mq
30m         Normal    Pulled             pod/node-sentinel-5h9mq             Container image "python:3.12-slim" already present on machine and can be accessed by the pod
5m32s       Warning   DNSConfigForming   pod/node-sentinel-5h9mq             Nameserver limits were exceeded, some nameservers have been omitted, the applied nameserver line is: 1.1.1.1 8.8.8.8 8.8.8.8
30m         Normal    Started            pod/node-sentinel-5h9mq             Container started
5m20s       Normal    Killing            pod/node-sentinel-5h9mq             Stopping container node-sentinel
5m20s       Normal    SuccessfulDelete   daemonset/node-sentinel             Deleted pod: node-sentinel-5h9mq
4m50s       Normal    Scheduled          pod/node-sentinel-lkbw8             Successfully assigned intent-lab/node-sentinel-lkbw8 to icclz1
4m50s       Normal    SuccessfulCreate   daemonset/node-sentinel             Created pod: node-sentinel-lkbw8
68s         Warning   DNSConfigForming   pod/node-sentinel-lkbw8             Nameserver limits were exceeded, some nameservers have been omitted, the applied nameserver line is: 1.1.1.1 8.8.8.8 8.8.8.8
4m49s       Normal    Pulled             pod/node-sentinel-lkbw8             Container image "python:3.12-slim" already present on machine and can be accessed by the pod
4m49s       Normal    Created            pod/node-sentinel-lkbw8             Container created
4m49s       Normal    Started            pod/node-sentinel-lkbw8             Container started
