elapsed_s,scheduled_request_count,launched_request_count,dropped_max_inflight_count,inflight_count_max,client_backlog_or_schedule_miss,timeout_rate,fail_rate,target_offered_rps,cooling_condition,run_id,completion_realized_completed_rps,completion_completed_request_count,completion_successful_completion_count,completion_completion_success_fraction,completion_completion_timeout_fraction,completion_latency_p50,completion_latency_p95,completion_latency_p99,gpu_util_pct,gpu_mem_util_pct,gpu_memory_used_mib,gpu_power_w,gpu_temp_c,sm_clock_mhz,mem_clock_mhz,vm_cluster_semantic__namespace_total__cpu_cores_rate,vm_cluster_semantic__namespace_total__memory_working_set_bytes,vm_target_node_semantic__gpu_bound_features__gpu_compute__gpu_util_avg,vm_target_node_semantic__node_compute_features__cpu_compute__cpu_user_percent,vm_target_node_semantic__node_compute_features__cpu_compute__load1,vm_target_node_semantic__node_compute_features__cpu_compute__load5,vm_target_node_semantic__node_compute_features__ram_capacity__memory_usage_percent,vm_target_node_semantic__node_pressure_instant__cpu_usage_percent,vm_target_node_semantic__node_pressure_instant__load_average__load1,vm_target_node_semantic__node_pressure_instant__load_average__load5,vm_target_node_semantic__node_pressure_instant__mem_used_bytes
0,1,1,0,0,0,0.0,0.0,0.5,normal_cooling,calibration_level1_rps0.5_20260703_095642,1.0,1.0,1.0,1.0,0.0,232.75273900071625,232.75273900071625,232.75273900071625,53.0,18.0,822.0,60.47,41.0,1721.0,5005.0,0.0094666999999901,1662210048.0,0.0,5.540897,1.35,0.75,7.083819837981709,8.8390505,1.14,0.72,4028301836.0
1,0,0,0,0,0,0.0,0.0,0.5,normal_cooling,calibration_level1_rps0.5_20260703_095642,,,,,,,,,0.0,0.0,822.0,61.39,41.0,1721.0,5005.0,0.0,1662210048.0,0.0,4.216074,1.35,0.75,7.083819837981709,7.509881200000001,1.14,0.72,4024099143.0
2,1,1,0,0,0,0.0,0.0,0.5,normal_cooling,calibration_level1_rps0.5_20260703_095642,1.0,1.0,1.0,1.0,0.0,200.12524399498943,200.12524399498943,200.12524399498943,35.0,12.0,822.0,61.66,44.0,1721.0,5005.0,0.0039062999999714,1662210048.0,0.0,3.963012,1.35,0.75,7.083819837981709,7.397621999999999,1.14,0.72,4020126089.0
3,0,0,0,0,0,0.0,0.0,0.5,normal_cooling,calibration_level1_rps0.5_20260703_095642,,,,,,,,,0.0,0.0,822.0,61.39,42.0,1721.0,5005.0,0.0039062999999714,1662210048.0,0.0,14.724712,1.35,0.75,7.083819837981709,20.7426379,1.14,0.72,4053270528.0
4,1,1,0,0,0,0.0,0.0,0.5,normal_cooling,calibration_level1_rps0.5_20260703_095642,1.0,1.0,1.0,1.0,0.0,204.79469599376895,204.79469599376895,204.79469599376895,34.0,11.0,822.0,61.85,44.0,1721.0,5005.0,0.0039062999999714,1662210048.0,0.0,6.380208,1.14,0.72,7.136183254810502,11.3281246,1.14,0.72,4053438300.0
5,0,0,0,0,0,0.0,0.0,0.5,normal_cooling,calibration_level1_rps0.5_20260703_095642,,,,,,,,,0.0,0.0,822.0,61.59,43.0,1721.0,5005.0,0.0039062999999714,1662210048.0,0.0,7.272727,1.14,0.72,7.136183254810502,10.1298696,1.05,0.71,4053298839.0
6,1,1,0,0,0,0.0,0.0,0.5,normal_cooling,calibration_level1_rps0.5_20260703_095642,1.0,1.0,1.0,1.0,0.0,205.84750099806115,205.84750099806115,205.84750099806115,31.0,10.0,822.0,61.88,45.0,1721.0,5005.0,0.0039062999999714,1662210048.0,0.0,6.91906,1.14,0.72,7.136183254810502,11.0966057,1.05,0.71,4052999995.0
7,0,0,0,0,0,0.0,0.0,0.5,normal_cooling,calibration_level1_rps0.5_20260703_095642,,,,,,,,,0.0,0.0,822.0,61.59,43.0,1721.0,5005.0,0.0039062999999714,1662210048.0,0.0,7.49354,1.14,0.72,7.136183254810502,10.7235138,1.05,0.71,4046155939.0
8,1,1,0,0,0,0.0,0.0,0.5,normal_cooling,calibration_level1_rps0.5_20260703_095642,1.0,1.0,1.0,1.0,0.0,210.62308399996252,210.62308399996252,210.62308399996252,30.0,10.0,822.0,61.88,45.0,1721.0,5005.0,0.0039062999999714,1662210048.0,0.0,5.851756,1.14,0.72,7.136183254810502,9.6228871,1.05,0.71,4042153525.0
9,0,0,0,0,0,0.0,0.0,0.5,normal_cooling,calibration_level1_rps0.5_20260703_095642,,,,,,,,,0.0,0.0,822.0,61.59,43.0,1721.0,5005.0,0.0039062999999714,1662210048.0,0.0,7.652399,1.14,0.72,7.136183254810502,11.1543445,1.05,0.71,4042543595.0
