feature,role,decision,rows,non_missing,missing_rate,unique_count,mean,median,std,min,max,pearson_with_offered_rps,median_by_offered_rps
vmagg._debug.cadvisor_selector,metadata_or_debug,exclude_primary_feature,537,0,1.0,0,,,,,,,0.5:nan; 1.0:nan; 1.5:nan
vmagg._debug.cluster_gpu_allocatable,metadata_or_debug,exclude_primary_feature,537,537,0.0,1,0.0,0.0,0.0,0.0,0.0,,0.5:0.0; 1.0:0.0; 1.5:0.0
vmagg._debug.cluster_gpu_capacity,metadata_or_debug,exclude_primary_feature,537,537,0.0,1,0.0,0.0,0.0,0.0,0.0,,0.5:0.0; 1.0:0.0; 1.5:0.0
vmagg._debug.cluster_gpu_nodes,metadata_or_debug,exclude_primary_feature,537,537,0.0,1,3.0,3.0,0.0,3.0,3.0,,0.5:3.0; 1.0:3.0; 1.5:3.0
vmagg._debug.cluster_gpu_total,metadata_or_debug,exclude_primary_feature,537,537,0.0,1,3.0,3.0,0.0,3.0,3.0,,0.5:3.0; 1.0:3.0; 1.5:3.0
vmagg._debug.cluster_shared_gpu_allocatable,metadata_or_debug,exclude_primary_feature,537,537,0.0,1,12.0,12.0,0.0,12.0,12.0,,0.5:12.0; 1.0:12.0; 1.5:12.0
vmagg._debug.cluster_shared_gpu_capacity,metadata_or_debug,exclude_primary_feature,537,537,0.0,1,12.0,12.0,0.0,12.0,12.0,,0.5:12.0; 1.0:12.0; 1.5:12.0
vmagg._debug.deployment_managed_pods,metadata_or_debug,exclude_primary_feature,537,0,1.0,0,,,,,,,0.5:nan; 1.0:nan; 1.5:nan
vmagg._debug.gpu_missing_fields.by_gpu,metadata_or_debug,exclude_primary_feature,537,0,1.0,0,,,,,,,0.5:nan; 1.0:nan; 1.5:nan
vmagg._debug.gpu_missing_fields.missing_on_all_gpus,metadata_or_debug,exclude_primary_feature,537,0,1.0,0,,,,,,,0.5:nan; 1.0:nan; 1.5:nan
vmagg._debug.gpu_series_found,metadata_or_debug,exclude_primary_feature,537,537,0.0,1,1.0,1.0,0.0,1.0,1.0,,0.5:1.0; 1.0:1.0; 1.5:1.0
vmagg._debug.gpu_workload_map_keys,metadata_or_debug,exclude_primary_feature,537,0,1.0,0,,,,,,,0.5:nan; 1.0:nan; 1.5:nan
vmagg._debug.gpu_workload_pods,metadata_or_debug,exclude_primary_feature,537,0,1.0,0,,,,,,,0.5:nan; 1.0:nan; 1.5:nan
vmagg._debug.gpu_workloads_found,metadata_or_debug,exclude_primary_feature,537,537,0.0,1,0.0,0.0,0.0,0.0,0.0,,0.5:0.0; 1.0:0.0; 1.5:0.0
vmagg._debug.identity_consistency.node_exporter_instance,metadata_or_debug,exclude_primary_feature,537,0,1.0,0,,,,,,,0.5:nan; 1.0:nan; 1.5:nan
vmagg._debug.identity_consistency.observer,metadata_or_debug,exclude_primary_feature,537,0,1.0,0,,,,,,,0.5:nan; 1.0:nan; 1.5:nan
