client_role,req_id,target_url,client_ts_start,client_ts_end,e2e_latency_ms,status_code,success,server_latency_ms,server_total_latency_ms,server_time,server_pod_name,server_node_name,server_service_role,num_boxes,model,device,imgsz,filename,inter_request_gap_ms,loop_elapsed_ms,error_type,error_msg
measurement,measurement-0,http://10.42.1.31:18080/infer?repeat=10,2026-06-24T16:27:28.792265+00:00,2026-06-24T16:27:29.035905+00:00,243.623,200,1,215.04,230.904,2026-06-24T16:27:29.032,yolo26n-focus-d67856478-2b8lw,unknown,focus,18,yolo26m.pt,cuda:0,640,sanity_input.png,,243.966,normal_success,
measurement,measurement-1,http://10.42.1.31:18080/infer?repeat=10,2026-06-24T16:27:29.036387+00:00,2026-06-24T16:27:29.215596+00:00,179.191,200,1,153.652,165.74,2026-06-24T16:27:29.213,yolo26n-focus-d67856478-2b8lw,unknown,focus,18,yolo26m.pt,cuda:0,640,sanity_input.png,0.152,179.405,normal_success,
measurement,measurement-2,http://10.42.1.31:18080/infer?repeat=10,2026-06-24T16:27:29.215858+00:00,2026-06-24T16:27:29.387328+00:00,171.457,200,1,147.059,159.11,2026-06-24T16:27:29.384,yolo26n-focus-d67856478-2b8lw,unknown,focus,18,yolo26m.pt,cuda:0,640,sanity_input.png,0.069,171.935,normal_success,
measurement,measurement-3,http://10.42.1.31:18080/infer?repeat=10,2026-06-24T16:27:29.388028+00:00,2026-06-24T16:27:29.562293+00:00,174.239,200,1,146.67,158.665,2026-06-24T16:27:29.558,yolo26n-focus-d67856478-2b8lw,unknown,focus,18,yolo26m.pt,cuda:0,640,sanity_input.png,0.228,174.734,normal_success,
measurement,measurement-4,http://10.42.1.31:18080/infer?repeat=10,2026-06-24T16:27:29.562889+00:00,2026-06-24T16:27:29.734633+00:00,171.721,200,1,144.293,156.451,2026-06-24T16:27:29.731,yolo26n-focus-d67856478-2b8lw,unknown,focus,18,yolo26m.pt,cuda:0,640,sanity_input.png,0.129,172.288,normal_success,
measurement,measurement-5,http://10.42.1.31:18080/infer?repeat=10,2026-06-24T16:27:29.735311+00:00,2026-06-24T16:27:29.925103+00:00,189.77,200,1,162.562,174.661,2026-06-24T16:27:29.921,yolo26n-focus-d67856478-2b8lw,unknown,focus,18,yolo26m.pt,cuda:0,640,sanity_input.png,0.133,190.293,normal_success,
measurement,measurement-6,http://10.42.1.31:18080/infer?repeat=10,2026-06-24T16:27:29.925736+00:00,2026-06-24T16:27:30.303704+00:00,377.944,200,1,352.195,364.187,2026-06-24T16:27:30.300,yolo26n-focus-d67856478-2b8lw,unknown,focus,18,yolo26m.pt,cuda:0,640,sanity_input.png,0.133,378.443,normal_success,
measurement,measurement-7,http://10.42.1.31:18080/infer?repeat=10,2026-06-24T16:27:30.304314+00:00,2026-06-24T16:27:30.687030+00:00,382.698,200,1,356.683,368.589,2026-06-24T16:27:30.685,yolo26n-focus-d67856478-2b8lw,unknown,focus,18,yolo26m.pt,cuda:0,640,sanity_input.png,0.136,382.832,normal_success,
measurement,measurement-8,http://10.42.1.31:18080/infer?repeat=10,2026-06-24T16:27:30.687179+00:00,2026-06-24T16:27:31.062660+00:00,375.475,200,1,353.754,365.644,2026-06-24T16:27:31.060,yolo26n-focus-d67856478-2b8lw,unknown,focus,18,yolo26m.pt,cuda:0,640,sanity_input.png,0.038,375.599,normal_success,
measurement,measurement-9,http://10.42.1.31:18080/infer?repeat=10,2026-06-24T16:27:31.062816+00:00,2026-06-24T16:27:31.437321+00:00,374.499,200,1,352.228,364.094,2026-06-24T16:27:31.434,yolo26n-focus-d67856478-2b8lw,unknown,focus,18,yolo26m.pt,cuda:0,640,sanity_input.png,0.038,374.772,normal_success,
measurement,measurement-10,http://10.42.1.31:18080/infer?repeat=10,2026-06-24T16:27:31.437675+00:00,2026-06-24T16:27:31.813700+00:00,376.012,200,1,352.581,364.741,2026-06-24T16:27:31.811,yolo26n-focus-d67856478-2b8lw,unknown,focus,18,yolo26m.pt,cuda:0,640,sanity_input.png,0.085,376.141,normal_success,
measurement,measurement-11,http://10.42.1.31:18080/infer?repeat=10,2026-06-24T16:27:31.813843+00:00,2026-06-24T16:27:32.185411+00:00,371.559,200,1,348.63,360.554,2026-06-24T16:27:32.182,yolo26n-focus-d67856478-2b8lw,unknown,focus,18,yolo26m.pt,cuda:0,640,sanity_input.png,0.03,372.046,normal_success,
